Country,Clicks,Impressions,CTR,Position
United States,34,4195,0.81%,11.63
India,7,125,5.6%,19.24
United Kingdom,5,547,0.91%,25.34
Ghana,2,8,25%,4.75
Thailand,1,42,2.38%,21.69
Germany,1,36,2.78%,6.81
Malaysia,1,33,3.03%,13.21
New Zealand,1,27,3.7%,8.41
Ukraine,1,19,5.26%,22.89
Poland,1,12,8.33%,13
Kyrgyzstan,1,1,100%,4
Canada,0,234,0%,10.51
Philippines,0,200,0%,11.56
Australia,0,113,0%,10.5
Singapore,0,70,0%,36.91
Vietnam,0,67,0%,26.54
Japan,0,65,0%,27.26
South Korea,0,40,0%,51.08
Indonesia,0,35,0%,24.09
Netherlands,0,33,0%,7.7
Pakistan,0,31,0%,16.61
United Arab Emirates,0,30,0%,12.5
Spain,0,28,0%,16.46
Bangladesh,0,27,0%,19.56
Russia,0,24,0%,23.21
Turkey,0,23,0%,21.39
Ireland,0,20,0%,5.95
France,0,20,0%,15.25
South Africa,0,18,0%,7.39
Hong Kong,0,18,0%,7.56
Mexico,0,13,0%,12.54
Morocco,0,13,0%,22.08
Italy,0,11,0%,6.09
Sweden,0,11,0%,8
Brazil,0,11,0%,10
Taiwan,0,10,0%,6.5
Greece,0,10,0%,6.8
Saudi Arabia,0,10,0%,27.7
Algeria,0,10,0%,28.3
Kenya,0,9,0%,8.78
Romania,0,9,0%,9.44
Belgium,0,8,0%,7
China,0,8,0%,8.88
Denmark,0,7,0%,6.57
Czechia,0,7,0%,6.86
Puerto Rico,0,7,0%,7
Nigeria,0,7,0%,7.43
Portugal,0,6,0%,5
Finland,0,6,0%,6.67
Peru,0,6,0%,15
Albania,0,5,0%,2.4
Egypt,0,5,0%,6.6
Lithuania,0,5,0%,7.4
Israel,0,4,0%,5.75
Croatia,0,4,0%,6
Norway,0,4,0%,7.25
Slovakia,0,4,0%,9.75
Jordan,0,4,0%,12.5
Iraq,0,4,0%,20.25
Austria,0,4,0%,24
Sri Lanka,0,3,0%,3.33
Dominican Republic,0,3,0%,4
Nepal,0,3,0%,5
Bahrain,0,3,0%,6
Estonia,0,3,0%,6.33
Lebanon,0,3,0%,7
Guatemala,0,3,0%,9
Cambodia,0,3,0%,9.33
Serbia,0,3,0%,23.33
Ethiopia,0,2,0%,2
Latvia,0,2,0%,3.5
Bahamas,0,2,0%,4
Panama,0,2,0%,5
Argentina,0,2,0%,6
Qatar,0,2,0%,6
Uzbekistan,0,2,0%,6
Iran,0,2,0%,6.5
Switzerland,0,2,0%,7
Honduras,0,2,0%,7.5
Cyprus,0,2,0%,10
Chile,0,2,0%,28
Belize,0,1,0%,4
Haiti,0,1,0%,4
Kuwait,0,1,0%,4
Syria,0,1,0%,4
Luxembourg,0,1,0%,5
Costa Rica,0,1,0%,6
Uganda,0,1,0%,6
Azerbaijan,0,1,0%,7
Jamaica,0,1,0%,7
Mongolia,0,1,0%,7
Macedonia,0,1,0%,8
Malawi,0,1,0%,9
Guam,0,1,0%,10
Macau,0,1,0%,10
Isle of Man,0,1,0%,11
Kazakhstan,0,1,0%,11
Northern Mariana Islands,0,1,0%,11
Slovenia,0,1,0%,11
Zambia,0,1,0%,11
Bulgaria,0,1,0%,44
